"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"110037 Alto Alegre dos Parecis";4;4;4;-
"110040 Alto Paraíso";1;1;1;-
"110034 Alvorada D'Oeste";-;-;-;7
"110002 Ariquemes";5;-;-;12
"110045 Buritis";3;2;2;4
"110004 Cacoal";5;4;-;43
"110070 Campo Novo de Rondônia";4;6;4;-
"110080 Candeias do Jamari";5;5;5;-
"110090 Castanheiras";-;1;1;2
"110005 Cerejeiras";-;-;-;3
"110092 Chupinguaia";2;3;3;2
"110008 Costa Marques";1;-;-;2
"110009 Espigão D'Oeste";-;-;-;10
"110100 Governador Jorge Teixeira";-;-;-;2
"110011 Jaru";-;-;-;29
"110012 Ji-Paraná";-;-;5;25
"110013 Machadinho D'Oeste";-;-;2;4
"110130 Mirante da Serra";1;1;1;3
"110143 Nova União";-;-;-;1
"110050 Novo Horizonte do Oeste";5;7;6;3
"110015 Ouro Preto do Oeste";-;-;-;1
"110018 Pimenta Bueno";-;-;-;4
"110020 Porto Velho";29;6;5;80
"110025 Presidente Médici";-;-;-;3
"110147 Primavera de Rondônia";-;3;3;-
"110026 Rio Crespo";-;1;1;-
"110028 Rolim de Moura";7;1;-;12
"110029 Santa Luzia D'Oeste";-;-;-;2
"110148 São Felipe D'Oeste";2;3;2;2
"110149 São Francisco do Guaporé";-;-;-;8
"110032 São Miguel do Guaporé";-;-;-;2
"110150 Seringueiras";-;3;-;3
"110160 Theobroma";-;-;-;2
"110175 Vale do Anari";1;2;4;2
"110180 Vale do Paraíso";-;-;-;5
"110030 Vilhena";1;4;5;19
"120010 Brasiléia";4;2;2;3
"120020 Cruzeiro do Sul";-;8;6;8
"120033 Mâncio Lima";-;-;-;2
"120035 Marechal Thaumaturgo";-;-;-;5
"120040 Rio Branco";37;21;7;162
"120042 Rodrigues Alves";-;-;-;2
"120050 Sena Madureira";-;-;-;1
"120045 Senador Guiomard";-;-;-;1
"120070 Xapuri";3;-;-;-
"130006 Amaturá";-;-;-;1
"130014 Apuí";-;-;-;4
"130030 Autazes";-;7;7;-
"130040 Barcelos";-;-;-;1
"130063 Beruri";3;3;3;-
"130070 Boca do Acre";-;-;17;4
"130080 Borba";-;-;-;4
"130110 Careiro";-;-;-;3
"130120 Coari";-;5;5;10
"130130 Codajás";2;-;-;-
"130150 Envira";-;-;-;2
"130165 Guajará";-;-;-;2
"130170 Humaitá";-;-;-;1
"130180 Ipixuna";3;-;-;-
"130185 Iranduba";-;-;-;2
"130190 Itacoatiara";6;3;4;1
"130200 Itapiranga";-;-;-;4
"130220 Juruá";-;-;-;3
"130230 Jutaí";2;1;1;1
"130240 Lábrea";5;12;12;2
"130250 Manacapuru";-;-;-;10
"130255 Manaquiri";-;-;-;1
"130260 Manaus";12;30;24;142
"130270 Manicoré";-;-;-;2
"130280 Maraã";-;-;-;1
"130300 Nhamundá";-;-;-;2
"130310 Nova Olinda do Norte";-;-;-;12
"130330 Novo Aripuanã";1;-;-;3
"130340 Parintins";-;-;-;2
"130350 Pauini";2;2;2;-
"130353 Presidente Figueiredo";-;-;-;5
"130356 Rio Preto da Eva";2;-;-;6
"130380 São Gabriel da Cachoeira";9;12;16;18
"130390 São Paulo de Olivença";-;-;-;1
"130400 Silves";4;5;5;-
"130406 Tabatinga";-;-;-;2
"130410 Tapauá";4;4;5;3
"130420 Tefé";3;1;2;3
"130423 Tonantins";-;-;-;1
"130426 Uarini";-;-;-;1
"140002 Amajari";-;-;-;2
"140010 Boa Vista";12;4;3;7
"140015 Bonfim";-;-;-;5
"140017 Cantá";-;-;-;4
"140020 Caracaraí";-;1;-;2
"140023 Caroebe";4;5;4;-
"140030 Mucajaí";-;-;-;4
"140040 Normandia";-;-;-;3
"140047 Rorainópolis";-;-;-;2
"150010 Abaetetuba";1;8;8;11
"150020 Acará";-;-;-;4
"150034 Água Azul do Norte";-;-;-;4
"150040 Alenquer";-;-;-;2
"150060 Altamira";-;1;1;12
"150080 Ananindeua";9;15;15;18
"150085 Anapu";-;1;1;1
"150090 Augusto Corrêa";-;-;-;39
"150095 Aurora do Pará";-;-;-;2
"150100 Aveiro";-;1;-;3
"150120 Baião";1;1;1;15
"150125 Bannach";-;-;-;4
"150130 Barcarena";-;-;-;7
"150140 Belém";43;25;20;120
"150145 Belterra";-;-;-;2
"150150 Benevides";4;3;3;1
"150157 Bom Jesus do Tocantins";-;-;-;2
"150170 Bragança";2;2;2;8
"150172 Brasil Novo";-;-;-;7
"150175 Brejo Grande do Araguaia";-;-;-;4
"150178 Breu Branco";-;-;-;3
"150190 Bujaru";-;-;-;2
"150210 Cametá";3;1;1;10
"150215 Canaã dos Carajás";3;3;3;2
"150220 Capanema";12;4;14;8
"150230 Capitão Poço";2;1;1;9
"150240 Castanhal";9;7;8;8
"150270 Conceição do Araguaia";-;-;-;1
"150276 Cumaru do Norte";3;3;4;7
"150277 Curionópolis";-;-;-;1
"150285 Curuá";-;3;3;-
"150290 Curuçá";-;-;-;3
"150293 Dom Eliseu";-;-;-;4
"150300 Faro";-;-;-;4
"150304 Floresta do Araguaia";1;1;-;-
"150307 Garrafão do Norte";3;3;3;-
"150309 Goianésia do Pará";-;-;-;5
"150310 Gurupá";-;-;-;2
"150320 Igarapé-Açu";-;-;-;7
"150330 Igarapé-Miri";-;-;-;17
"150345 Ipixuna do Pará";4;9;9;4
"150350 Irituia";3;3;3;-
"150360 Itaituba";-;-;-;3
"150370 Itupiranga";3;-;-;25
"150375 Jacareacanga";-;-;-;1
"150380 Jacundá";2;1;1;7
"150390 Juruti";-;5;5;-
"150400 Limoeiro do Ajuru";-;-;-;6
"150410 Magalhães Barata";-;-;-;8
"150420 Marabá";1;7;6;14
"150430 Maracanã";-;-;-;1
